id;post_code;state;street;sub_street;town;enabled
1;35439-0142;JBOD;Reagan Rapids;challenge;24/365 COM;false
2;06111;content-based;Wuckert Pass;Berkshire compressing world-class;Jewelery;true
3;81639;Tasty backing Alaska;Zieme Forges;synthesizing Grocery;bypass Clothing Market;true
4;82494-3028;repurpose application;Robel Valley;management;Cliffs Wall;true
5;02115-1580;Colorado gold;Fanny Forges;encryption;Ball payment;true
6;88755-1065;Lead lavender;Benton Coves;multi-byte Plastic Port;back-end Handcrafted;false
7;14990;Lodge grid-enabled;Sterling Grove;Bedfordshire feed;Direct Refined;false
8;37395;enhance aggregate;Crona Isle;FTP Savings red;optical Center;false
9;60341-6328;Quality SAS SQL;Kirsten Ridge;matrix Avon withdrawal;monitor;true
10;40473-8628;cross-platform indigo HTTP;Muller Avenue;SQL time-frame Peso;Regional invoice Borders;false
